,region,date,AVG_temp(°C),day_precipitation(mm),AVG_wind(m/s),AVG_relative_hum(%)
0,105,2010-01-01,-3.1,0.0,3.6,32.8
1,105,2010-01-02,0.1,2.5,2.3,74.9
2,105,2010-01-03,-2.6,0.0,3.0,44.5
3,105,2010-01-04,-2.6,13.5,2.3,76.4
4,105,2010-01-05,-5.0,0.0,4.8,50.0
5,105,2010-01-06,-6.4,0.0,4.3,44.0
6,105,2010-01-07,-3.8,0.0,4.2,57.6
7,105,2010-01-08,-1.5,0.0,3.7,48.3
8,105,2010-01-09,-1.1,0.0,2.8,49.9
9,105,2010-01-10,-0.2,0.0,3.0,55.5
10,105,2010-01-11,-0.3,0.0,4.3,47.8
11,105,2010-01-12,-5.0,0.0,5.5,33.9
12,105,2010-01-13,-8.8,0.0,5.6,33.8
13,105,2010-01-14,-4.7,0.0,4.2,34.4
14,105,2010-01-15,-1.2,0.0,2.7,48.4
15,105,2010-01-16,-1.5,0.0,2.5,45.1
16,105,2010-01-17,-0.8,0.0,2.4,42.0
17,105,2010-01-18,4.1,0.0,2.9,48.3
18,105,2010-01-19,5.8,0.0,2.0,55.4
19,105,2010-01-20,9.5,5.5,1.7,87.9
20,105,2010-01-21,2.2,14.0,2.2,81.5
21,105,2010-01-22,-2.4,0.0,5.9,35.3
22,105,2010-01-23,-1.1,0.0,5.8,29.5
23,105,2010-01-24,2.1,0.0,5.8,43.1
24,105,2010-01-25,3.5,0.0,4.7,32.8
25,105,2010-01-26,0.7,0.0,4.8,27.8
26,105,2010-01-27,6.6,0.1,3.2,35.0
27,105,2010-01-28,5.0,0.0,3.7,46.9
28,105,2010-01-29,0.5,0.0,5.7,35.4
29,105,2010-01-30,3.6,0.0,4.7,42.1
30,105,2010-01-31,4.8,0.0,2.8,51.5
31,105,2010-02-01,1.2,0.2,2.6,73.4
32,105,2010-02-02,-0.8,0.0,3.8,29.1
33,105,2010-02-03,-4.2,0.0,4.9,23.9
34,105,2010-02-04,-2.3,0.0,3.9,29.3
35,105,2010-02-05,-1.1,0.0,3.4,22.6
36,105,2010-02-06,-0.9,0.0,2.2,30.9
37,105,2010-02-07,3.6,0.0,2.5,26.6
38,105,2010-02-08,7.4,0.0,1.8,51.1
39,105,2010-02-09,4.8,10.0,1.7,82.1
40,105,2010-02-10,1.8,18.5,1.1,97.4
41,105,2010-02-11,-0.1,28.5,1.9,95.8
42,105,2010-02-12,-1.7,33.5,1.3,96.6
43,105,2010-02-13,-0.6,0.1,1.5,77.3
44,105,2010-02-14,-0.5,0.0,2.7,60.8
45,105,2010-02-15,-0.9,0.5,2.9,68.5
46,105,2010-02-16,-1.8,2.0,1.9,84.8
47,105,2010-02-17,-1.4,0.0,2.8,49.3
48,105,2010-02-18,-0.3,0.0,3.8,45.8
49,105,2010-02-19,0.5,0.0,3.3,44.3
50,105,2010-02-20,2.3,0.0,2.3,55.8
51,105,2010-02-21,3.8,0.0,1.7,63.0
52,105,2010-02-22,7.3,0.0,3.3,54.1
53,105,2010-02-23,8.8,0.0,2.4,43.8
54,105,2010-02-24,13.8,0.0,1.9,38.4
55,105,2010-02-25,12.4,0.1,2.2,75.9
56,105,2010-02-26,4.9,1.0,1.7,91.5
57,105,2010-02-27,4.5,0.3,1.5,84.5
58,105,2010-02-28,7.5,0.0,2.7,67.6
