,region,date,AVG_temp(°C),day_precipitation(mm),AVG_wind(m/s),AVG_relative_hum(%)
0,105,01-01,1,1,2,1
1,105,01-02,2,1,2,1
2,105,01-03,1,1,2,1
3,105,01-04,1,2,2,1
4,105,01-05,1,1,2,1
5,105,01-06,1,1,2,1
6,105,01-07,1,1,2,1
7,105,01-08,2,1,2,1
8,105,01-09,1,1,2,1
9,105,01-10,1,1,2,1
10,105,01-11,1,1,2,1
11,105,01-12,1,1,2,1
12,105,01-13,1,1,2,1
13,105,01-14,1,1,2,1
14,105,01-15,1,1,2,1
15,105,01-16,1,1,2,1
16,105,01-17,1,1,2,1
17,105,01-18,2,1,2,1
18,105,01-19,2,1,2,1
19,105,01-20,2,2,2,1
20,105,01-21,1,2,2,2
21,105,01-22,1,2,2,1
22,105,01-23,1,1,2,1
23,105,01-24,1,1,2,1
24,105,01-25,1,1,2,1
25,105,01-26,1,1,2,1
26,105,01-27,1,1,2,1
27,105,01-28,1,1,2,1
28,105,01-29,1,2,2,1
29,105,01-30,2,2,2,1
30,105,01-31,1,1,2,1
31,105,02-01,1,1,2,1
32,105,02-02,2,1,2,1
33,105,02-03,1,1,2,1
34,105,02-04,2,1,2,1
35,105,02-05,1,1,2,1
36,105,02-06,1,1,2,1
37,105,02-07,1,2,2,1
38,105,02-08,1,2,2,1
39,105,02-09,1,2,2,1
40,105,02-10,1,2,2,1
41,105,02-11,1,2,2,1
42,105,02-12,1,2,1,1
43,105,02-13,1,2,1,1
44,105,02-14,2,1,2,1
45,105,02-15,2,1,2,1
46,105,02-16,2,1,2,1
47,105,02-17,2,2,2,1
48,105,02-18,2,1,2,1
49,105,02-19,2,1,2,1
50,105,02-20,2,1,2,1
51,105,02-21,2,1,1,1
52,105,02-22,2,1,2,1
53,105,02-23,2,1,2,1
54,105,02-24,2,1,2,1
55,105,02-25,2,1,1,1
56,105,02-26,2,1,1,1
57,105,02-27,2,2,1,2
58,105,02-28,3,2,1,2
59,105,03-01,2,2,2,2
60,105,03-02,2,2,2,2
61,105,03-03,3,1,2,1
62,105,03-04,3,2,1,2
63,105,03-05,2,2,1,2
64,105,03-06,2,1,2,2
65,105,03-07,2,2,1,1
66,105,03-08,3,2,2,1
67,105,03-09,2,2,2,1
68,105,03-10,2,1,2,1
69,105,03-11,2,1,2,1
70,105,03-12,3,1,2,1
71,105,03-13,3,2,2,1
72,105,03-14,3,1,2,1
73,105,03-15,3,1,2,1
74,105,03-16,3,1,2,1
75,105,03-17,3,1,1,1
76,105,03-18,3,2,1,1
77,105,03-19,3,1,2,1
78,105,03-20,3,2,1,2
79,105,03-21,3,1,2,1
80,105,03-22,3,1,2,1
81,105,03-23,3,2,2,1
82,105,03-24,3,1,2,1
83,105,03-25,3,2,2,2
84,105,03-26,3,1,2,1
85,105,03-27,4,1,2,1
86,105,03-28,4,1,2,1
87,105,03-29,4,1,2,1
88,105,03-30,4,1,2,1
89,105,03-31,4,1,1,1
90,105,04-01,4,2,2,1
91,105,04-02,4,1,2,1
92,105,04-03,4,2,2,1
93,105,04-04,3,2,2,1
94,105,04-05,4,1,1,1
95,105,04-06,3,2,2,2
96,105,04-07,3,2,2,2
97,105,04-08,4,1,2,1
98,105,04-09,4,1,2,1
99,105,04-10,4,2,2,1
100,105,04-11,4,1,1,2
101,105,04-12,4,1,2,1
102,105,04-13,4,1,2,1
103,105,04-14,4,2,2,1
104,105,04-15,4,1,2,1
105,105,04-16,4,1,2,1
106,105,04-17,4,2,2,1
107,105,04-18,4,2,2,1
108,105,04-19,4,2,1,1
109,105,04-20,4,2,1,2
110,105,04-21,4,2,1,2
111,105,04-22,4,2,2,2
112,105,04-23,5,2,2,1
113,105,04-24,5,2,2,1
114,105,04-25,5,1,2,1
115,105,04-26,5,2,2,1
116,105,04-27,4,1,2,1
117,105,04-28,4,2,2,1
118,105,04-29,5,2,2,1
119,105,04-30,5,2,2,2
120,105,05-01,5,1,1,2
121,105,05-02,5,2,1,2
122,105,05-03,5,1,2,1
123,105,05-04,5,1,2,1
124,105,05-05,6,1,2,1
125,105,05-06,5,1,2,1
126,105,05-07,5,1,2,1
127,105,05-08,5,1,2,1
128,105,05-09,5,1,1,2
129,105,05-10,5,2,1,2
130,105,05-11,5,2,1,2
131,105,05-12,5,1,2,2
132,105,05-13,5,1,2,2
133,105,05-14,5,1,2,1
134,105,05-15,5,1,2,2
135,105,05-16,5,1,1,1
136,105,05-17,6,2,1,1
137,105,05-18,6,2,2,1
138,105,05-19,6,2,2,1
139,105,05-20,6,1,2,1
140,105,05-21,6,1,2,1
141,105,05-22,6,1,2,1
142,105,05-23,6,2,1,2
143,105,05-24,7,1,1,1
144,105,05-25,6,1,2,1
145,105,05-26,5,1,2,2
146,105,05-27,5,1,2,2
147,105,05-28,6,1,1,2
148,105,05-29,6,1,1,2
149,105,05-30,6,1,2,1
150,105,05-31,6,1,1,1
151,105,06-01,6,2,1,1
152,105,06-02,6,1,1,2
153,105,06-03,6,1,1,1
154,105,06-04,7,1,1,1
155,105,06-05,6,1,1,2
156,105,06-06,6,1,1,2
157,105,06-07,6,2,1,2
158,105,06-08,6,1,1,2
159,105,06-09,6,1,1,2
160,105,06-10,6,1,1,2
161,105,06-11,6,1,1,2
162,105,06-12,5,1,1,2
163,105,06-13,5,1,1,2
164,105,06-14,6,1,1,2
165,105,06-15,6,2,1,2
166,105,06-16,7,1,1,2
167,105,06-17,7,1,1,2
168,105,06-18,7,2,1,2
169,105,06-19,7,1,1,2
170,105,06-20,7,1,1,2
171,105,06-21,7,1,1,2
172,105,06-22,7,1,1,2
173,105,06-23,7,2,1,2
174,105,06-24,7,2,1,2
175,105,06-25,7,2,1,2
176,105,06-26,6,2,1,2
177,105,06-27,7,2,1,2
178,105,06-28,7,2,1,2
179,105,06-29,7,2,1,2
180,105,06-30,7,1,1,2
181,105,07-01,8,2,1,2
182,105,07-02,8,2,1,2
183,105,07-03,7,2,1,2
184,105,07-04,7,2,1,2
185,105,07-05,7,2,1,2
186,105,07-06,7,2,1,2
187,105,07-07,7,2,1,2
188,105,07-08,7,2,1,2
189,105,07-09,7,2,1,2
190,105,07-10,7,2,1,2
191,105,07-11,7,2,1,2
192,105,07-12,8,2,1,2
193,105,07-13,8,2,1,2
194,105,07-14,8,2,1,2
195,105,07-15,8,2,1,2
196,105,07-16,7,2,1,2
197,105,07-17,8,1,1,2
